level,points,death1,death2,death3,steps,date
15,78000,1,0,15,11558,2019-12-02 11:00:08
15,78000,0,0,15,10955,2019-12-02 12:42:19
15,78000,0,0,15,11927,2019-12-02 12:49:23
15,78000,15,0,15,9878,2019-12-02 12:55:19
15,78000,11,0,15,11671,2019-12-02 14:36:42
15,78000,0,0,15,12154,2019-12-02 14:44:05
15,78000,8,0,15,13326,2019-12-02 14:52:10
15,78000,0,0,15,13809,2019-12-02 15:00:32
15,78000,0,0,15,14139,2019-12-02 15:09:05
15,78000,9,0,15,12088,2019-12-02 15:16:25
15,78000,0,0,15,10854,2019-12-02 15:22:59
15,78000,0,0,15,12739,2019-12-02 15:30:42
15,78000,2,0,15,9867,2019-12-02 15:36:42
15,78000,8,0,15,9837,2019-12-02 15:42:43
15,78000,5,10,15,13176,2019-12-02 16:23:19
15,78000,0,0,15,12318,2019-12-02 16:30:35
15,78000,5,0,15,11614,2019-12-02 16:37:30
15,78000,0,0,15,11731,2019-12-02 16:44:30
15,78000,0,0,15,11153,2019-12-02 16:51:07
15,78000,0,0,15,11926,2019-12-02 16:58:17
15,78000,0,0,15,10228,2019-12-02 17:07:55
15,78000,8,0,15,10906,2019-12-02 17:14:20
15,78000,4,0,15,12135,2019-12-02 17:24:36
15,78000,0,0,15,11620,2019-12-02 17:32:32
15,78000,0,0,15,11658,2019-12-02 17:40:15
15,78000,6,0,15,12651,2019-12-02 17:47:56
15,78000,0,0,15,11876,2019-12-02 17:55:09
15,78000,0,0,15,12034,2019-12-02 18:02:29
15,78000,0,0,15,14397,2019-12-02 18:11:14
15,78000,0,0,15,9904,2019-12-02 18:17:15
15,78000,0,0,15,11226,2019-12-02 18:24:09
15,78000,0,0,15,12873,2019-12-02 18:31:56
15,78000,0,0,15,12284,2019-12-02 18:39:23
15,78000,7,0,15,10971,2019-12-02 18:46:03
15,78000,0,0,15,10915,2019-12-02 19:48:55
15,78000,0,0,15,12677,2019-12-02 19:56:37
