"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","13,734,375","100"
"2","youtube.com","21,661,582","100"
"3","www.blogger.com","28,238,361","100"
"4","microsoft.com","5,125,713","99"
"5","linkedin.com","11,250,321","99"
"6","apple.com","6,300,899","99"
"7","play.google.com","3,743,466","99"
"8","support.google.com","5,074,206","99"
"9","youtu.be","4,900,454","98"
"10","wordpress.org","11,533,044","98"
"11","mozilla.org","2,270,837","98"
"12","cloudflare.com","6,080,241","98"
"13","maps.google.com","5,155,825","98"
"14","en.wikipedia.org","6,805,690","98"
"15","docs.google.com","3,081,558","98"
"16","drive.google.com","2,267,308","97"
"17","googleusercontent.com","2,841,560","97"
"18","plus.google.com","11,575,552","97"
"19","sites.google.com","2,106,383","97"
"20","europa.eu","2,065,847","97"
"21","whatsapp.com","3,041,513","97"
"22","bp.blogspot.com","17,222,435","97"
"23","adobe.com","2,834,350","97"
"24","accounts.google.com","2,550,007","97"
"25","amazon.com","4,841,862","96"
"26","uol.com.br","670,339","96"
"27","istockphoto.com","3,443,512","96"
"28","es.wikipedia.org","937,933","96"
"29","facebook.com","57,520,765","96"
"30","github.com","2,647,976","96"
"31","t.me","931,737","96"
"32","vk.com","1,723,874","96"
"33","vimeo.com","3,498,599","96"
"34","live.com","875,668","95"
"35","search.google.com","1,289,887","95"
"36","nih.gov","1,351,104","95"
"37","theguardian.com","1,540,300","95"
"38","bbc.co.uk","1,712,058","95"
"39","slideshare.net","1,001,249","95"
"40","tools.google.com","1,676,776","95"
"41","google.de","1,130,222","95"
"42","feedburner.com","1,783,929","95"
"43","reuters.com","899,390","95"
"44","myspace.com","1,383,999","95"
"45","dailymotion.com","1,135,483","95"
"46","google.es","471,659","95"
"47","medium.com","1,596,668","95"
"48","bbc.com","856,730","95"
"49","globo.com","440,580","95"
"50","developers.google.com","1,070,706","95"
"51","news.google.com","757,294","95"
"52","dropbox.com","1,062,974","95"
"53","gstatic.com","615,563","95"
"54","google.co.jp","653,913","95"
"55","cpanel.net","1,557,166","95"
"56","nytimes.com","2,130,934","95"
"57","files.wordpress.com","7,548,157","95"
"58","jimdofree.com","1,703,447","95"
"59","mail.google.com","493,620","95"
"60","enable-javascript.com","7,755,997","95"
"61","who.int","1,983,063","95"
"62","wikimedia.org","1,890,922","95"
"63","dan.com","3,050,009","95"
"64","w3.org","1,141,915","95"
"65","terra.com.br","204,214","95"
"66","www.weebly.com","4,668,085","95"
"67","creativecommons.org","1,696,768","95"
"68","www.yahoo.com","1,322,321","95"
"69","google.com.br","293,763","95"
"70","imdb.com","1,483,814","95"
"71","brandbucket.com","11,148,272","95"
"72","line.me","790,229","95"
"73","youronlinechoices.com","562,625","95"
"74","forbes.com","1,470,711","95"
"75","fr.wikipedia.org","624,631","95"
"76","cnn.com","1,574,358","95"
"77","policies.google.com","2,174,609","95"
"78","pt.wikipedia.org","410,801","95"
"79","paypal.com","1,085,265","95"
"80","aboutads.info","579,497","94"
"81","goo.gl","4,548,055","94"
"82","time.com","798,150","94"
"83","www.gov.br","145,345","94"
"84","shopify.com","2,099,992","94"
"85","nasa.gov","661,876","94"
"86","de.wikipedia.org","662,718","94"
"87","huffpost.com","1,196,166","94"
"88","wired.com","662,424","94"
"89","draft.blogger.com","10,545,952","94"
